name_with_owner,name,date,release_date,release_name,release_url
apache/fineract,1.5.0,2021-05-16 07:57:02+00:00,2021-05-21 14:11:23+00:00,1.5.0,https://github.com/apache/fineract/releases/tag/1.5.0
apache/echarts,5.3.0,2022-01-23 07:20:00+00:00,2022-01-23 07:20:00+00:00,5.3.0,https://github.com/apache/echarts/releases/tag/5.3.0
apache/kylin,kylin-4.0.1,2021-12-29 10:33:00+00:00,,,
apache/jmeter,rel/v5.4.3,2021-12-23 16:51:02+00:00,,,
apache/tomcat,8.5.75,2022-01-17 22:10:46+00:00,,,
apache/kafka,3.1.0,2022-01-12 09:01:10+00:00,,,
apache/dubbo-php-framework,,,,,
apache/singa,3.2.0,2021-08-10 09:12:48+00:00,2020-04-19 16:08:43+00:00,Apache SINGA 3.0.0,https://github.com/apache/singa/releases/tag/3.0.0
apache/atlas,release-2.2.0-rc1,2021-08-09 22:04:27+00:00,,,
apache/arrow-rs,9.0.2,2022-02-09 16:38:44+00:00,,,
apache/spark,v3.1.3-rc4,2022-02-06 22:17:33+00:00,,,
apache/airflow,providers-zendesk/3.0.0rc2,2022-02-08 21:57:49+00:00,2022-01-10 16:35:39+00:00,Apache Airflow Helm Chart 1.4.0,https://github.com/apache/airflow/releases/tag/helm-chart%2F1.4.0
apache/commons-bcel,rel/commons-bcel-6.5.0,2020-06-05 21:41:21+00:00,,,
apache/zookeeper,release-3.8.0-0,2022-02-04 09:03:18+00:00,,,
apache/rocketmq,rocketmq-all-4.9.2,2021-10-22 05:43:57+00:00,2021-10-22 05:44:11+00:00,rocketmq-all-4.9.2,https://github.com/apache/rocketmq/releases/tag/rocketmq-all-4.9.2
apache/shardingsphere,5.1.0,2022-02-09 09:46:26+00:00,2021-11-01 15:43:30+00:00,5.0.0,https://github.com/apache/shardingsphere/releases/tag/5.0.0
apache/activemq,activemq-5.16.4,2022-02-11 16:18:49+00:00,,,
apache/isis-app-helloworld,2.0.0-M4,2020-11-08 16:17:02+00:00,,,
apache/maven,maven-3.8.4,2021-11-14 09:14:42+00:00,,,
apache/curator,apache-curator-5.2.0,2021-07-19 06:10:37+00:00,,,
apache/flink,release-1.13.6-rc1,2022-02-03 13:54:22+00:00,,,
apache/hadoop,release-3.3.2-RC4,2022-02-10 23:14:26+00:00,,,
apache/cloudstack,4.16.0.0,2021-11-04 17:14:57+00:00,2021-11-04 17:14:57+00:00,Apache CloudStack 4.16.0.0 (LTS),https://github.com/apache/cloudstack/releases/tag/4.16.0.0
apache/flume,release-1.9.0-rc3,2018-12-17 17:21:18+00:00,,,
apache/karaf,karaf-4.3.6,2022-01-10 09:34:32+00:00,,,
apache/lucene-solr,releases/lucene-solr/8.11.1,2021-12-14 11:57:46+00:00,,,
apache/shiro,shiro-root-1.8.0,2021-08-23 18:25:30+00:00,,,
apache/dubbo,dubbo-3.0.5,2021-12-26 09:26:13+00:00,2021-12-26 10:21:36+00:00,dubbo-3.0.5,https://github.com/apache/dubbo/releases/tag/dubbo-3.0.5
apache/incubator-age,v.0.7.0-rc0,2022-01-14 00:42:46+00:00,,,
apache/logging-log4j1,v1_2_17,2012-05-26 10:00:25+00:00,,,
apache/hbase,rel/2.4.9,2021-12-18 02:51:25+00:00,2021-12-24 22:47:28+00:00,Apache HBase 2.4.9 is now available for download,https://github.com/apache/hbase/releases/tag/rel%2F2.4.9
apache/cassandra,cassandra-4.0.2,2022-02-07 13:42:53+00:00,,,
apache/logging-log4j2,rel/2.12.4,2021-12-28 21:16:22+00:00,,,
apache/skywalking-eyes,v0.2.0,2021-10-14 03:44:32+00:00,2021-10-14 05:05:29+00:00,0.2.0,https://github.com/apache/skywalking-eyes/releases/tag/v0.2.0
apache/druid,druid-0.22.1,2021-12-11 02:57:19+00:00,2021-12-11 02:57:19+00:00,druid-0.22.1,https://github.com/apache/druid/releases/tag/druid-0.22.1
apache/hudi,release-0.10.1,2022-01-26 01:15:31+00:00,2022-01-26 01:29:50+00:00,0.10.1 Release,https://github.com/apache/hudi/releases/tag/release-0.10.1
apache/incubator-shenyu,v2.4.2,2022-01-18 09:08:40+00:00,2022-01-18 09:08:50+00:00,,https://github.com/apache/incubator-shenyu/releases/tag/v2.4.2
apache/shardingsphere-elasticjob,3.0.1,2021-10-04 02:20:04+00:00,2021-10-04 02:20:15+00:00,3.0.1,https://github.com/apache/shardingsphere-elasticjob/releases/tag/3.0.1
apache/skywalking,v8.9.1,2021-12-10 14:29:55+00:00,2021-12-10 14:30:52+00:00,8.9.1,https://github.com/apache/skywalking/releases/tag/v8.9.1
apache/httpd,2.4.52,2021-12-20 09:36:05+00:00,,,
apache/incubator-linkis,release-1.0.3,2022-01-17 08:02:57+00:00,2022-01-17 08:02:57+00:00,Apache Linkis(incubating) Release-1.0.3-Incubating,https://github.com/apache/incubator-linkis/releases/tag/release-1.0.3
apache/pulsar,v2.7.5-candidate-1,2022-02-11 11:34:55+00:00,2021-12-29 08:10:19+00:00,,https://github.com/apache/pulsar/releases/tag/v2.8.2
apache/incubator-brpc,1.0.0,2021-10-31 10:23:20+00:00,2021-10-31 10:27:28+00:00,brpc 1.0.0,https://github.com/apache/incubator-brpc/releases/tag/1.0.0
apache/datasketches-cpp,3.3.0,2021-12-17 19:49:38+00:00,2021-12-23 20:05:22+00:00,datasketches-cpp-3.3.0,https://github.com/apache/datasketches-cpp/releases/tag/3.3.0
apache/dubbo-benchmark,,,,,
apache/tvm,v0.9.dev0,2021-11-12 17:05:39+00:00,2021-11-12 21:24:02+00:00,Apache TVM v0.8 Release Note,https://github.com/apache/tvm/releases/tag/v0.8.0
apache/iceberg,apache-iceberg-0.13.1-rc0,2022-02-10 23:21:35+00:00,2022-02-02 05:14:30+00:00, apache-iceberg-0.13.0,https://github.com/apache/iceberg/releases/tag/apache-iceberg-0.13.0
apache/incubator-mxnet,2.0.0.beta1.rc0,2022-01-19 12:59:17+00:00,2021-11-04 20:30:01+00:00,Apache MXNet (incubating) 1.9.0,https://github.com/apache/incubator-mxnet/releases/tag/1.9.0
apache/predictionio,v0.14.0,2019-03-11 05:01:49+00:00,2016-04-11 19:42:44+00:00,PredictionIO 0.9.6,https://github.com/apache/predictionio/releases/tag/v0.9.6
apache/cordova-plugin-media,5.0.4,2022-01-21 11:41:21+00:00,,,
apache/ratis,ratis-2.2.0,2021-10-11 20:00:21+00:00,,,
apache/incubator-eventmesh,v1.3.0,2021-12-20 12:04:21+00:00,2021-12-20 12:04:21+00:00,Apache EventMesh v1.3.0 (incubating),https://github.com/apache/incubator-eventmesh/releases/tag/v1.3.0
apache/dubbo-go,v1.5.8-rc1,2022-02-08 14:19:58+00:00,2022-02-08 14:27:56+00:00,v1.5.8-rc1,https://github.com/apache/dubbo-go/releases/tag/v1.5.8-rc1
apache/servicecomb-pack,0.6.0,2020-05-16 12:44:58+00:00,2020-05-16 12:45:49+00:00,ServiceComb Pack 0.6.0,https://github.com/apache/servicecomb-pack/releases/tag/0.6.0
apache/dubbo-samples,,,,,
apache/bahir-flink,v1.0-rc5,2017-05-17 20:03:05+00:00,,,
apache/superset,superset-helm-chart-0.5.8,2022-02-10 17:43:58+00:00,2022-02-10 17:43:58+00:00,superset-helm-chart-0.5.8,https://github.com/apache/superset/releases/tag/superset-helm-chart-0.5.8
apache/mesos,1.11.0,,,,
apache/incubator-doris,doris-spark-connector-3.1.2-2.12-1.0.0,2022-01-05 06:00:16+00:00,2021-11-16 10:44:09+00:00,Apache Doris 0.15.0 (incubating) Release,https://github.com/apache/incubator-doris/releases/tag/0.15.0-rc04
apache/pinot,release-0.9.3,2021-12-24 06:15:32+00:00,2021-12-24 17:49:15+00:00,Apache Pinot 0.9.3,https://github.com/apache/pinot/releases/tag/release-0.9.3
apache/ignite-3,3.0.0-alpha4,2022-01-25 19:17:09+00:00,,,
apache/ignite,2.12.0,2022-01-08 09:11:22+00:00,,,
apache/arrow,apache-arrow-8.0.0.dev,2022-02-03 19:45:28+00:00,,,
apache/maven-mvnd,0.7.1,2021-12-07 13:15:27+00:00,2021-12-07 13:15:27+00:00,0.7.1,https://github.com/apache/maven-mvnd/releases/tag/0.7.1
apache/dubbo-go-pixiu,v0.4.0-rc2,2021-10-30 16:41:18+00:00,2021-11-01 06:56:39+00:00,v0.4.0-rc2,https://github.com/apache/dubbo-go-pixiu/releases/tag/v0.4.0-rc2
apache/rocketmq-dashboard,rocketmq-dashboard-1.0.0,2021-09-23 13:14:35+00:00,2021-09-23 13:14:49+00:00,rocketmq-dashboard-1.0.0,https://github.com/apache/rocketmq-dashboard/releases/tag/rocketmq-dashboard-1.0.0
apache/rocketmq-externals,mqtt_1.0.1-mdh4.8.1,2021-11-18 08:17:00+00:00,,,
apache/groovy,GROOVY_4_0_0,2022-01-25 11:07:30+00:00,,,
apache/bookkeeper,release-4.14.4,2021-12-22 16:49:23+00:00,2021-11-10 02:11:42+00:00,Release 4.14.3,https://github.com/apache/bookkeeper/releases/tag/release-4.14.3
apache/incubator-nuttx,nuttx-10.2.0,2021-10-28 12:44:52+00:00,,,
apache/pulsar-manager,v0.2.0,2020-09-09 14:13:17+00:00,2020-09-18 08:33:40+00:00,v0.2.0,https://github.com/apache/pulsar-manager/releases/tag/v0.2.0
apache/ant,rel/1.10.12,2021-10-13 04:46:29+00:00,,,
